auteur;opinion;commentaire;note;date
mariecelest;C’est ma troisième livraison;C’est ma troisième livraison, eus des produits manquants lors de la 2ème livraison, le service client m’a fait un avoir sur la troisième.Les produits sont frais, il faut toujours calculer un peu plus de temps que mentionné sur les fiches recettes.Pour l’instant je suis satisfaite du concept;3; 06 mai 2023
Nathalie Noulin;TOUJOURS PROBLEME DE LIVRAISON;Nouvelles procédures de livraison nulles et pas du tout arrangeantes ! avant avec chronofresh nous pouvions décaler d'un jour dans le cas d'un imprévu, maintenant c'est super compliqué il faut appeler sans compter que la box est annulée et qu'il y a aucune autre alternative. De plus, avec chronofresh il y avait cette possibilité d'aller chercher la box dans un dépôt si aucun créneau nous arrangeait ce qui n'est plus possible maintenant ! Ce changement de procédures sera la raison de mon arrêt d'abonnement chez hellofresh. Vous proposez le fait de déposer chez un voisin ou chez le concierge mais c'est juste inutile, maintenant il faut être disponible toute la journée et si on veut un créneau précis il faut payer en plus sans compter que les box sont déjà super chères ...Remettez-vous en question;4; 14 février 2023
Maë SANTULLO;Nouvelles procédures de livraison…;Je trouve ça très pratique simple et bon je cuisine des choses que je n'aurais jamais cuisiné et on est plus en manque d'inspiration;1; 31 mai 2023
Aurore Rosenstiehl;Pratique et bon;Franchement c est ma 2eme commande rien a dire.Continuez comme ça.;1; 31 mai 2023
angelie grellier;je remarque des produits manquants;Depuis début  2023,  je commande HelloFresh une  semaine sur deux pour 3 personnes et 4 repas. Je m'y retrouve complètement en terme d'organisation, de variété des repas. Le prix me paraît normal et je dépense bien plus si je fais des courses. Les produits sont frais et de très bonnes qualités. Mais depuis trois semaines je suis déçue.A la dernière livraison ,il manquait une recette complète.Ils m’ont remboursé mais ça a perturbé mon organisation.A la livraison d’aujourd’hui ,deux recettes il manque des produits et dans la troisième des produits sont ouverts et ont coulé dans le sachet donc rien n’est utilisable .En plus je n’arrive pas à les joindre par téléphone.On sent que la qualité diminue.;5; 06 avril 2023
Aurore Duclos;Franchement c est ma 2eme commande rien…;Très satisfaite de mes box en général, large choix de recettes, plats équilibrés, facile à préparer et on se régale à chaque fois ! Sauf ma dernière box : hélas à la place de la recette premium (burger au portobello) j'ai eu les ingrédients d'une recette inconnue. 1er vrai incident et très déçue.  J'ai bien sûr été remboursée (le service client est vraiment top et à l'écoute), les autres recettes étaient comme d'habitude excellentes. Hier, après avoir enfin trouvé des portobello nous avons enfin pu déguster ces fameux burgers c'était excellent !;3; 31 mai 2023
Lili DS;De moins en moins bien;Produits de qualité, recettes variées. Seul bémol, le prix un peu élevé;5; 13 juin 2023
Valérie G.;Satisfaite;Livraison parfaite mais les quantités sont un peu justes.;3; 06 juin 2023
Sandrine  Robert;Produits de qualité;Livraison trop souvent retardée de 24 h...Dernier colis: asperges immangeables car restées très dures malgré un cuisson prolongée (double temps).;4; 31 mai 2023
Myriam;Livraison parfaite mais les quantités…;Très bonne idée de recette, m’évite une charge mentale en plus! Plus besoin de faire les menu et les courses. Par contre, les produits ne sont pas toujours en bon etat, comme la salade par exemple. Et parfois manquant. Mais très bon service après vente.;4; 31 mai 2023
CHOCHOIS Lydie;Livraison trop souvent retardée de 24…;Commandes annulées par 2 fois à la dernière minute. (la veille pour le lendemain);4; 11 juin 2023
MELANIE;manque d'une salade;Il me manquait de la salade sur l'un de mes derniers plats commandés.Sinon recettes sympas parfois difficile de varier avec les gouts de chaucun.Tarif un peu onéreux pour tous les jours;3,5; 06 avril 2023
virginie MAURY;Bonne expérience cela permet d…;Bonne expérience cela permet d découvrir d autre plat! Par contre c est trop cher pr dépenser ttes les semaines..j trouve le principe pas sympa d ailleurs ! Nous devrions choisir notre fréquence et si on oubli notre pause ne nous remettez pas d office sans prévenir ! Ce n est pas honnête !;4; 11 mai 2023
bnd a;Vacances et annulation …;Alors que j'étais en vacance à l'autre bout du monde ma box a été livrer. J'ai oublié d'annuler et pas pu annuler 24h avant. De plus débité avant envoie !!!;3; 07 juin 2023
Lau Che;Bien, délicieux, avec quelques points non négligeables malgré tout.;"Nous sommes à deux semaines de test pour Hellofresh et les recettes sont vraiment délicieuses !J'enlève deux étoiles pour deux choses principalement :- Le fait qu'il n'était pas clairement mentionné quelque part qu'il y avait des recettes Premium qui engendrent un surcoût. Le surcoût est indiqué ""x,xx€ en plus par portion"" dans l'encart de la recette, ce que j'ai d'abord pris pour le coût d'une assiette en plus sur ce repas si nous avions était 3 au lieu de 2 par exemple une fois dans la semaine, et ce jusqu'à ce que je me rende compte que ça correspondait à mes facturations de 6€ et quelques (que j'ai elles d'abord pris pour les frais de port). Bref un simple petit logo ""Premium"" dans l'encart suffirait à les identifier, bien sûr, peut être que moins de gens les choisiraient par mégarde... Je pense que c'est volontairement assez clair pour être légal et trop peu clair pour pouvoir les vendre.- Deuxième ombre au tableau, la livraison. Pour ma part notre livraison est effectuée par ChronoFresh et les deux fois c'est un désastre. Je mets toutes les instructions nécessaires en cas d'absence à la livraison mais le livreur ne daigne pas trouver la bonne porte d'entrée, ce qui fait que le colis se retrouve en pleine cagne puisque pas déposé à l'endroit que j'ai indiqué (nous n'habitons pas du tout un manoir hein donc logiquement c'est assez simple et tous les autres livreurs trouvent la porte d'entrée). Ça ne me dérangerait pas s'il n'y avait que des légumes. Or, il y a de la viande et aucun emballage spécifique qui protège le frais, c'est un carton tout à fait normal. Donc au moindre écart de température (surtout arrivant sur les jours chaud en ce moment) ou à la moindre défaillance de matériel lors de la livraison, c'est la chaîne du froid qui est foutue en l'air. Enfin, même si ça ne fait pas partie des deux point majeurs que je voulais aborder, les recettes génèrent, même pour les plus simples, énoooormément de vaisselle. Parfois même pour rassembler les ingrédients dans le même plat au final. Alors, pour deux cuissons différentes c'est nécessaire certes, par contre sur d'autres situations tout le service à Mémé y passe pour 3 carottes et 1 oignon donc non, s'il vous plaît trouvez un moyen plus adapté. On n'a pas la brigade de Philippe Etchebest dans nos cuisines pour faire la plonge. J'ai souvent vu passer les partenariats commerciaux Hellofresh en vantant la facilité de cuisiner, accessible même aux plus débutants, je ne trouve pas. Ce n'est pas très compliqué non plus mais certaines recettes demandent quelques notions de cuisine basique malgré tout et découragera de loin les personnes qui veulent des repas express.Mitigée donc. Nous continuons l'expérience pour le moment jusqu'à la fin de la réduction, après... Nous verrons.";1; 30 mai 2023
Sabrina;Le quantité de ingrédients diminués…;"Le quantité de ingrédients diminués avec les temps et les légumes sauvent périmés, dommage car le concept est bien et efficace mais pas très ""fresh"".";3; 24 avril 2023
Sasa;Super concept;Super concept, originalité et fraîcheur. Un vrai + dans la gestion des plats quotidiens . Le seul problème : la livraison avec chrono fresh. Ces derniers ont un service client excecrable, non compétent. Livraison 48h après l’heure prévue. Heureusement, les produits ont été dans l’ensemble consommables et hello fresh a fait un geste commercial.;3; 19 mai 2023
Marion;Plus de prise de tête sur « qu’est ce…;Plus de prise de tête sur « qu’est ce qu’on mange !? » c’est le point numéro un que je voulais abolir avec HelloFresh et c’est une réussite !Point numéro deux je voulais pouvoir subvenir au repas du soir pour ma famille de 5 personnes et au repas du lendemain pour 3 personnes, pour le moment les recettes que j’ai choisi m’ont permis de le faire 👌🏼 Par contre je trouverai sympa qu’on puisse choisir si on a besoin de certains ingrédients (les herbes aromatiques, certains légumes (j’ai un potager qui ne va pas tarder à donner), certaines épices …) ça éviterait d’en avoir en double et aussi des déchets plastiques/papiers. Et ça pourrait réduire aussi le prix de la box en fonction des choix. Ça serait vraiment la box ultime pour moi !;4; 31 mai 2023
Isabelle Meyer Ramos Pinheiro;Commande incomplète;J’ai commandé 5 recettes et une soupe en supplément. 1 recette et la soupe annulées « à cause de leur succès » et 1 recette manquante à la livraison. Donc remboursement en « crédit » pour ma prochaine commande. Pas très contente car résultat je me retrouve à être obligée d’aller faire des courses et j’aurais préféré être remboursée par virement car finalement j’ai le sentiment d’avoir payé 2 fois;4; 04 juin 2023
Ophelie  Bénier;Je suis à ma 2ème box je suis déçu;Je suis à ma 2ème box je suis déçu. Livraison décalé de 1 jour sans information. Tomate pas mûre.1 recette avec avocat celui-ci toujours pas mûre au bout de 6 jours alors que le poulet avait une DLC pour 5 jours. Je commande chez quitoque depuis plusieurs années et je n'ai jamais rencontré ces problèmes;4; 31 mai 2023
Client;Encore des ingrédients manquant;Encore des ingrédients manquant.  Et pas possible d avoir un intermédiaire soit par te ou chat.;2; 07 mai 2023
Derby;Toujours aussi satisfaites des recettes;Ingrédients manquants ou abîmés, heures de livraison très peu pratiques (ou bien nécessitant un supplément de frais). Le service client est aimable et ce n’est pas de leur faute, mais la qualité des box reste vraiment décevante pour leur prix élevé.;1; 12 mars 2023
Ulysse;Ingrédients manquants ou abîmés;toujours étonnée et enchantée des plats proposés. je recommande;5; 03 juin 2023
Michele INVERNIZZI;toujours étonnée et enchantée des plats…;Recette en pénurie Oignons et carottes pourriesLégumes de mauvaise qualité Portion trop légère mêmePour un ado;1; 06 mai 2023
Aurélie  MAHMOUDI;Recette en pénurie;Dans l'ensemble bons repas, assez aisé à confectionner. Malheureusement en faisant les hamburgers, en ouvrant les pains briochés, des tâches de moisissure... pas top;5; 02 juin 2023
WALTER Olivia;Dans l'ensemble bons repas;Très satisfaite produits de qualité et recettes originales Dommage que les clients fidèles n’est pas de réductions comme les nouveaux clients .;3; 09 juin 2023
bae clemence;Très satisfaite produits de qualité et…;La soupe que j’ai reçu dans ma livraison mardi, le jeudi a explosé dans mon réfrigérateur. Les produits sont en général frais, mais là quelque chose c’est vraisemblablement pas bien passée sur la chaîne du froid, c’est qui me fait douter de la bonne conservation des autres produits.La livraison précédente s’était bien passée, à part pour un sachet, dans lequel manquait persil, pour autant listé parmi ingrédients fournis.;3; 19 février 2023
